Mutants,Delta 1,Delta 2,Delta 0
m1,t4;t5,t4;t5;t014;t015,t4;t5,
m2,Empty,t1;t2;t3;t4;t5;t014;t8;t015;t011;t012,t1;t2;t3;t4;t5;t8;t011;t012,
m3,t4,t1;t2;t3;t4;t5;t014;t8;t015;t011;t012,t1;t2;t3;t4;t5;t8;t011;t012,
m4,t2;t3;t4;t5,t2;t3;t4;t5;t014;t015,t2;t3;t4;t5,
m6,t2;t3;t4,t1;t2;t3;t4;t5;t014;t8;t015;t011;t012,t1;t2;t3;t4;t5;t8;t011;t012,
m7,t1,t1;t014;t015,t1,
m8,t5,t1;t2;t3;t4;t5;t014;t8;t015;t011;t012,t1;t2;t3;t4;t5;t8;t011;t012,
m9,t5,t2;t3;t4;t5;t014;t8;t015;t011;t012,t2;t3;t4;t5;t8;t011;t012,
m10,Empty,t014;t8;t015,t8,
m11,Empty,t014;t015;t9,t9,
m12,Empty,t014;t015;t010,t010,
m13,Empty,t014;t015;t011,t011,
m14,Empty,t013;t014;t015;t012,t013;t012,
m15,Empty,t014;t6;t7;t8;t015;t9;t010;t011;t012;t013,t6;t7;t8;t9;t010;t011;t012;t013,
m16,Empty,t013;t014;t015,t013,
m17,Empty,t014;t015,Empty,
m19,t9;t012,t013;t5;t014;t8;t015;t9;t012,t013;t5;t8;t9;t012,
m22,Empty,t5;t014;t8;t015,t5;t8,
m25,Empty,t1;t014;t015,t1,
