,m1,m2,m3,m4,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m19,m22,m25
t013,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
t1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
t2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
t3,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
t4,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
t5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
t014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
t8,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0
t015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
t010,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
t011,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
t012,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
