,m1,m2,m4,m6,m7,m8,m9,m11,m13,m14,m15,m16,m17,m18,m19,m20
Test025,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test029,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Test032,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
Test001,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
Test031,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
Test016,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test015,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test003,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Test006,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
Test018,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test017,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test007,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
Test021,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test020,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test026,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test011,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test013,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test005,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
Test008,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Test024,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test004,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1
Test027,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test014,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test019,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Test023,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test022,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test010,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
Test030,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1
Test028,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
Test009,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
Test012,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
