Mutants,Delta 1,Delta 2,Delta 0
m1,Test025;Test029;Test001;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test001;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test031;Test032,Test025;Test029;Test001;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test031;Test032,
m2,Test025;Test029;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,
m4,Test016;Test015;Test018;Test017;Test011;Test013;Test014;Test019;Test010;Test012,Test016;Test015;Test018;Test017;Test011;Test013;Test014;Test019;Test010;Test012,Test016;Test015;Test018;Test017;Test011;Test013;Test014;Test019;Test010;Test012,
m6,Test025;Test001;Test007;Test021;Test020;Test026;Test005;Test008;Test024;Test004;Test027;Test002;Test023;Test022;Test028,Test025;Test029;Test001;Test007;Test021;Test020;Test026;Test005;Test008;Test024;Test004;Test027;Test002;Test023;Test022;Test028;Test031,Test025;Test029;Test001;Test007;Test021;Test020;Test026;Test005;Test008;Test024;Test004;Test027;Test002;Test023;Test022;Test028;Test031,
m7,Test025;Test029;Test001;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test001;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test031,Test025;Test029;Test001;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test031,
m8,Test025;Test029;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test023;Test022;Test010;Test030;Test028;Test012;Test001;Test002;Test031;Test032,Test025;Test029;Test016;Test015;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test023;Test022;Test010;Test030;Test028;Test012;Test001;Test002;Test031;Test032,
m9,Test025;Test029;Test001;Test016;Test015;Test003;Test006;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test009;Test012,Test025;Test029;Test001;Test016;Test015;Test003;Test006;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test009;Test012;Test031,Test025;Test029;Test001;Test016;Test015;Test003;Test006;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test009;Test012;Test031,
m11,Test025;Test029;Test016;Test015;Test018;Test017;Test021;Test020;Test026;Test011;Test013;Test008;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test016;Test015;Test018;Test017;Test021;Test020;Test026;Test011;Test013;Test008;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test032,Test025;Test029;Test016;Test015;Test018;Test017;Test021;Test020;Test026;Test011;Test013;Test008;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test032,
m13,Test025;Test029;Test016;Test015;Test018;Test017;Test021;Test020;Test026;Test011;Test013;Test008;Test024;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012,Test025;Test029;Test016;Test015;Test006;Test018;Test017;Test021;Test020;Test026;Test011;Test013;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test032,Test025;Test029;Test016;Test015;Test006;Test018;Test017;Test021;Test020;Test026;Test011;Test013;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test012;Test032,
m14,Test029;Test001;Test006;Test007;Test005;Test008;Test004;Test002;Test009,Test029;Test001;Test006;Test007;Test005;Test008;Test004;Test002;Test009;Test031,Test029;Test001;Test006;Test007;Test005;Test008;Test004;Test002;Test009;Test031,
m15,Test025;Test029;Test001;Test016;Test015;Test006;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test009;Test012,Test025;Test029;Test001;Test016;Test015;Test006;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test009;Test012;Test003;Test031;Test032,Test025;Test029;Test001;Test016;Test015;Test006;Test018;Test017;Test007;Test021;Test020;Test026;Test011;Test013;Test005;Test008;Test024;Test004;Test027;Test014;Test019;Test002;Test023;Test022;Test010;Test030;Test028;Test009;Test012;Test003;Test031;Test032,
